ID,Description,Entry_ID,Comment,Media_IDs,Semantic_Domain,alt_translation1
SN002847,take away (imperfective aspect),LX002054,,,,отбирать; отнимать
SN002848,take away (perfective aspect),LX002055,,,,отобрать; отнять
SN002849,kind of machete,LX002056,,,Tool,мачете
SN002850,shoo,LX002057,,,,кшш
SN002851,coal,LX002058,,,,уголь
SN002852,touch,LX002059,,,,трогать
SN002853,touch (perfective aspect),LX002060,,,,тронуть
SN002854,touch (perfective aspect),LX002061,,,,тронуть
SN002855,touch (imperfective aspect),LX002062,,,,трогать
SN002856,touch (imperfective aspect),LX002063,,,,трогать
SN002857,touch (perfective aspect),LX002064,,,,притронуться
SN002858,touch (perfective aspect),LX002065,,,,дотронуться; коснуться
SN002859,class,LX002066,,,Loanword,класс
SN002860,raspberry,LX002067,,,Plant; Food,малина
SN002861,tree,LX002068,,,Plant,дерево
SN002862,on tiptoe,LX002069,,,,на цыпочках
SN002863,tower,LX002070,,,Housing & Lifestyle,башня
SN002864,widower; widow,LX002071,,,Kinship,вдовец; вдова
SN002865,widowed,LX002072,,,,овдовевший
SN002866,widowhood,LX002073,,,,вдовство
SN002867,toe,LX002074,,,Body part,палец ноги
SN002868,step,LX002075,,,,шаг
SN002869,hurry up (perfective aspect); walk faster (perfective aspect),LX002076,,,,поторопиться; ходить быстрее
SN002870,step (perfective aspect),LX002077,,,,шагнуть
SN002871,roam (perfective aspect),LX002078,,,,бродить
SN002872,step,LX002079,,,,ступенька
SN002873,stairs; ladder,LX002079,,,Tool,лестница
SN002874,step,LX002080,,,,ступенька
SN002875,ladder,LX002081,,,Tool,лестница
SN002876,fang,LX002082,,,Body part,клык
SN002877,envelope,LX002083,,,Loanword,конверт
SN002878,piece of hot coal,LX002084,,,,горячие угли
SN002879,ashes; charcoal,LX002085,,,,зола; древесный уголь
SN002880,shroud,LX002086,,,,саван
SN002881,rock; swing,LX002087,,,,качать
SN002882,rock (perfective aspect); swing (perfective aspect); shake (perfective aspect),LX002088,,,,качнуть; качать
SN002883,sway (imperfective aspect),LX002089,,,,качаться
SN002884,sway (imperfective aspect),LX002090,,,,качаться
SN002885,bed,LX002091,,,Housing & Lifestyle; Loanword,кровать
SN002886,cat,LX002092,,,Animal,кошка; кот
SN002887,blackberry,LX002093,,,Plant; Food,ежевика
SN002888,shawl; headscarf,LX002094,,,Clothes,платок
SN002889,pick; fork,LX002095,,,Tool,кирка
SN002890,elbow,LX002096,,,Body part,локоть
SN002891,newspaper,LX002097,,,Loanword,газета
SN002892,eight,LX002098,,,Numeral,восемь
SN002893,eighty,LX002099,,,Numeral,восемьдесят
SN002894,eight hundred,LX002100,,,Numeral,восемьсот
SN002895,eighth,LX002101,,,Numeral,восьмой
SN002896,eight times,LX002102,,,Numeral,восемь раз
SN002897,hunger,LX002103,,,,голод
SN002898,screech,LX002104,,,,крик совы
SN002899,cuckoo,LX002105,,,Animal,кукушка
